KBP relation,Max values (9 means no limit),Relation terms,Arg2 begins,Entity in,SlotFill in,Slot type,Arg1 terms,Arg2 terms
org:country_of_headquarters,1,headquartered,in,arg1,arg2,Country,,
org:country_of_headquarters,1,based,in,arg1,arg2,Country,,
org:country_of_headquarters,1,be,,arg2,arg1,Country,,home
org:country_of_headquarters,1,operate,out of,arg1,arg2,Country,,
org:country_of_headquarters,1,situate,in,arg1,arg2,Country,,
org:country_of_headquarters,1,situate,at,arg1,arg2,Country,,
org:country_of_headquarters,1,headquartered,at,arg1,arg2,Country,,
org:country_of_headquarters,1,taxpayer of,,arg1,arg2,Country,,
org:country_of_headquarters,1,operated,out of,arg1,arg2,Country,,
org:country_of_headquarters,1,operating,out of,arg1,arg2,Country,,
org:country_of_headquarters,1,operates,out of,arg1,arg2,Country,,
org:country_of_headquarters,1,is situated,in,arg1,arg2,Country,,
org:country_of_headquarters,1,is situated,at,arg1,arg2,Country,,
org:country_of_headquarters,1,was situated,in,arg1,arg2,Country,,
org:country_of_headquarters,1,was situated,at,arg1,arg2,Country,,
org:country_of_headquarters,1,is based,,arg1,arg2,Country,,
org:country_of_headquarters,1,is located,in,arg1,arg2,Country,,
org:country_of_headquarters,1,is located,,arg1,arg2,Country,,
org:country_of_headquarters,1,was based,,arg1,arg2,Country,,
org:country_of_headquarters,1,was located,in,arg1,arg2,Country,,
org:country_of_headquarters,1,was located,,arg1,arg2,Country,,
org:country_of_headquarters,1,is,,arg2,arg1,Country,,home
org:country_of_headquarters,1,was,,arg2,arg1,Country,,home
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
org:stateorprovince_of_headquarters,1,headquartered,in,arg1,arg2,Stateorprovince,,
org:stateorprovince_of_headquarters,1,based,in,arg1,arg2,Stateorprovince,,
org:stateorprovince_of_headquarters,1,be,,arg2,arg1,Stateorprovince,,home
org:stateorprovince_of_headquarters,1,operate,out of,arg1,arg2,Stateorprovince,,
org:stateorprovince_of_headquarters,1,situate,in,arg1,arg2,Stateorprovince,,
org:stateorprovince_of_headquarters,1,situate,at,arg1,arg2,Stateorprovince,,
org:stateorprovince_of_headquarters,1,headquartered,at,arg1,arg2,Stateorprovince,,
org:stateorprovince_of_headquarters,1,taxpayer of,,arg1,arg2,Stateorprovince,,
org:stateorprovince_of_headquarters,1,organization in,,arg1,arg2,Stateorprovince,,
org:stateorprovince_of_headquarters,1,based,,arg1,arg2,Stateorprovince,,
org:stateorprovince_of_headquarters,1,located,in,arg1,arg2,Stateorprovince,,
org:stateorprovince_of_headquarters,1,located,,arg1,arg2,Stateorprovince,,
org:stateorprovince_of_headquarters,1,operated,out of,arg1,arg2,Stateorprovince,,
org:stateorprovince_of_headquarters,1,operating,out of,arg1,arg2,Stateorprovince,,
org:stateorprovince_of_headquarters,1,operates,out of,arg1,arg2,Stateorprovince,,
org:stateorprovince_of_headquarters,1,is situated,in,arg1,arg2,Stateorprovince,,
org:stateorprovince_of_headquarters,1,is situated,at,arg1,arg2,Stateorprovince,,
org:stateorprovince_of_headquarters,1,was situated,in,arg1,arg2,Stateorprovince,,
org:stateorprovince_of_headquarters,1,was situated,at,arg1,arg2,Stateorprovince,,
org:stateorprovince_of_headquarters,1,is based,,arg1,arg2,Stateorprovince,,
org:stateorprovince_of_headquarters,1,is located,in,arg1,arg2,Stateorprovince,,
org:stateorprovince_of_headquarters,1,is located,,arg1,arg2,Stateorprovince,,
org:stateorprovince_of_headquarters,1,was based,,arg1,arg2,Stateorprovince,,
org:stateorprovince_of_headquarters,1,was located,in,arg1,arg2,Stateorprovince,,
org:stateorprovince_of_headquarters,1,was located,,arg1,arg2,Stateorprovince,,
org:stateorprovince_of_headquarters,1,is,,arg2,arg1,Stateorprovince,,home
org:stateorprovince_of_headquarters,1,was,,arg2,arg1,Stateorprovince,,home
,,,,,,,,
,,,,,,,,
,,,,,,,,
org:parents,9,subsidiary of,Organization,arg1,arg2,Organization,,
org:parents,9,branch of,Organization,arg1,arg2,Organization,,
org:parents,9,be,part of,arg1,arg2,Organization,,
org:parents,9,part of,Organization,arg1,arg2,Organization,,
org:parents,9,wing of,Organization,arg1,arg2,Organization,,
org:parents,9,unit of,Organization,arg1,arg2,Organization,,
org:parents,9,division of,Organization,arg1,arg2,Organization,,
org:parents,9,parent of,Organization,arg2,arg1,Organization,,
org:parents,9,owns,Organization,arg2,arg1,Organization,,
org:parents,9,parent company of,Organization,arg2,arg1,Organization,,
org:parents,9,corporate parent of,Organization,arg2,arg1,Organization,,
org:parents,9,buy,Organization,arg2,arg1,Organization,,
org:parents,9,owner of,Organization,arg2,arg1,Organization,,
org:parents,9,acquired,Organization,arg2,arg1,Organization,,
org:parents,9,includes,Organization,arg2,arg1,Organization,,
org:parents,9,take over,Organization,arg2,arg1,Organization,,
org:parents,9,purchased,Organization,arg2,arg1,Organization,,
org:parents,9,publisher of,Organization,arg2,arg1,Organization,,
org:parents,9,to sell,Organization,arg2,arg1,Organization,,
org:parents,9,is,part of,arg1,arg2,Organization,,
org:parents,9,was,part of,arg1,arg2,Organization,,
org:parents,9,own,Organization,arg2,arg1,Organization,,
org:parents,9,owned,Organization,arg2,arg1,Organization,,
org:parents,9,owning,Organization,arg2,arg1,Organization,,
org:parents,9,bought,Organization,arg2,arg1,Organization,,
org:parents,9,buying,Organization,arg2,arg1,Organization,,
org:parents,9,buys,Organization,arg2,arg1,Organization,,
org:parents,9,acquire,Organization,arg2,arg1,Organization,,
org:parents,9,acquires,Organization,arg2,arg1,Organization,,
org:parents,9,acquiring,Organization,arg2,arg1,Organization,,
org:parents,9,include,Organization,arg2,arg1,Organization,,
org:parents,9,included,Organization,arg2,arg1,Organization,,
org:parents,9,including,Organization,arg2,arg1,Organization,,
org:parents,9,takes over,Organization,arg2,arg1,Organization,,
org:parents,9,taking over,Organization,arg2,arg1,Organization,,
org:parents,9,took over,Organization,arg2,arg1,Organization,,
org:parents,9,purchase,Organization,arg2,arg1,Organization,,
org:parents,9,purchases,Organization,arg2,arg1,Organization,,
org:parents,9,purchasing,Organization,arg2,arg1,Organization,,
org:parents,9,sell,Organization,arg2,arg1,Organization,,
org:parents,9,selling,Organization,arg2,arg1,Organization,,
org:parents,9,sold,Organization,arg2,arg1,Organization,,
org:parents,9,sells,Organization,arg2,arg1,Organization,,
,,,,,,,,
