KBP relation,Max values (9 means no limit),Relation terms,Arg2 begins,Entity in,SlotFill in,Slot type,Arg1 terms,Arg2 terms
per:employee_or_member_of,9,<JobTitle> for,,arg1,arg2,City,,
per:employee_or_member_of,9,be,,arg1,arg2,City,,<JobTitle> of
per:employee_or_member_of,9,become,,arg1,arg2,City,,<JobTitle> of
per:employee_or_member_of,9,be,,arg1,arg2,City,,City <JobTitle>
per:employee_or_member_of,9,elected,,arg1,arg2,City,,<JobTitle> of
per:employee_or_member_of,9,elected,,arg1,arg2,City,,City <JobTitle>
per:employee_or_member_of,9,re-elected,,arg1,arg2,City,,<JobTitle> of
per:employee_or_member_of,9,re-elected,,arg1,arg2,City,,City <JobTitle>
per:employee_or_member_of,9,reelected,,arg1,arg2,City,,<JobTitle> of
per:employee_or_member_of,9,reelected,,arg1,arg2,City,,City <JobTitle>
,,,,,,,,
,,,,,,,,
per:employee_or_member_of,9,<JobTitle> of,,arg1,arg2,Stateorprovince,,
per:employee_or_member_of,9,lead,,arg1,arg2,Stateorprovince,,
per:employee_or_member_of,9,run,Organization,arg1,arg2,Stateorprovince,,
per:employee_or_member_of,9,<JobTitle> of,,arg1,arg2,Stateorprovince,,
per:employee_or_member_of,9,<JobTitle> at,,arg1,arg2,Stateorprovince,,
per:employee_or_member_of,9,<JobTitle> for,,arg1,arg2,Stateorprovince,,
per:employee_or_member_of,9,<JobTitle> from,,arg1,arg2,Stateorprovince,,
per:employee_or_member_of,9,be,,arg1,arg2,Stateorprovince,,<JobTitle> of
per:employee_or_member_of,9,become,,arg1,arg2,Stateorprovince,,<JobTitle> of
per:employee_or_member_of,9,be,,arg1,arg2,Stateorprovince,,Stateorprovince <JobTitle>
per:employee_or_member_of,9,<JobTitle> of,,arg1,arg2,Stateorprovince,,
per:employee_or_member_of,9,elected,,arg1,arg2,Stateorprovince,,<JobTitle> of
per:employee_or_member_of,9,elected,,arg1,arg2,Stateorprovince,,Stateorprovince <JobTitle>
per:employee_or_member_of,9,re-elected,,arg1,arg2,Stateorprovince,,<JobTitle> of
per:employee_or_member_of,9,re-elected,,arg1,arg2,Stateorprovince,,Stateorprovince <JobTitle>
per:employee_or_member_of,9,reelected,,arg1,arg2,Stateorprovince,,<JobTitle> of
per:employee_or_member_of,9,reelected,,arg1,arg2,Stateorprovince,,Stateorprovince <JobTitle>
,,,,,,,,
,,,,,,,,
,,,,,,,,
per:title,9,employed,as,arg1,arg2,JobTitle,,
per:title,9,hired,as,arg1,arg2,JobTitle,,
per:title,9,employed,as,arg1,arg2,JobTitle,,
per:title,9,employed,as,arg1,arg2,JobTitle,,
per:title,9,<JobTitle> of,,arg1,relation,JobTitle,,
per:title,9,<JobTitle> at,,arg1,relation,JobTitle,,
per:title,9,<JobTitle> for,,arg1,relation,JobTitle,,
per:title,9,became,,arg1,arg2,JobTitle,,
per:title,9,be,,arg1,arg2,JobTitle,,
per:title,9,elected,,arg1,arg2,JobTitle,,
per:title,9,re-elected,,arg1,arg2,JobTitle,,
per:title,9,reelected,,arg1,arg2,JobTitle,,
per:title,9,appointed,,arg1,arg2,JobTitle,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
per:parents,9,son of,,arg1,arg2,Person,,
per:parents,9,daughter of,,arg1,arg2,Person,,
